descripcion_limpia,categoria
Abono Hipoteca,Vivienda
Té y galletas,Alimentacion
Agua embotellada,Alimentacion
Yogur,Alimentacion
playera,Ocio
Taller de idiomas,Educación
hipoteca,Vivienda
Estudio medico,Salud
Tour turístico,Ocio
Pasaje autobus,Transporte
Seguro de casa,Vivienda
Cursos,Educación
Pago seguro vivienda,Vivienda
Clases de ingles,Educación
Cafe de cafeteria,Alimentacion
Reparacion casa,Vivienda
Carga Gas LP,Servicios
Viaje Didi,Transporte
Servicio de mantenimiento,Servicios
Inscripción escuela,Educación
Uber Eats,Alimentacion
Pago de colegiatura,Educación
pemex,Transporte
Internet hogar,Servicios
Comision Federal de Electricidad,Servicios
Mantenimiento edificio,Vivienda
CFE pago,Servicios
Utiles escuela,Educación
antibiotico,Salud
Jugo,Alimentacion
Cafeteria,Alimentacion
Delivery de comida,Alimentacion
Crédito hipotecario,Vivienda
Tarjeta movilidad,Transporte
Clases de matemáticas,Educación
Carnicería,Alimentacion
Certificación profesional,Educación
PREMIUM,Transporte
Material escolar,Educación
Servicio médico,Salud
Boleto de autobús,Transporte
Cursos,Educación
Inscripción curso,Educación
Analgesico,Salud
Refrescos,Alimentacion
Recarga tarjeta transporte,Transporte
laboratorio medico,Salud
Vitaminas,Salud
Curso en linea,Educación
Herramientas hogar,Vivienda
Desayuno,Alimentacion
Combustible,Transporte
Gasolinera,Transporte
recibo de luz,Servicios
Compra ropa,Ocio
Material didáctico,Educación
Compra supermercado,Alimentacion
MEDICINA,Salud
Festival música,Ocio
Walmart,Alimentacion
Compra ropa,Ocio
Cablebus CDMX,Transporte
Latte,Alimentacion
Pago seguro vivienda,Vivienda
Dentista,Salud
taxi,Transporte
Boleto cine,Ocio
transporte publico,Transporte
Servicio de limpieza,Servicios
Pago escuela,Educación
Bolsa,Ocio
Pago Paramount,Ocio
Mensualidad Netflix,Ocio
Telefonía móvil,Servicios
Limpieza del hogar,Vivienda
medico,Salud
Servicio medico,Salud
cartera,Ocio
limpieza,Servicios
LABORATORIO,Salud
patinaje,Ocio
Mensualidad renta,Vivienda
doctor,Salud
Analgésico,Salud
Laboratorio medico,Salud
camiseta,Ocio
Comisión Federal de Electricidad,Servicios
Joyería,Ocio
Almuerzo,Alimentacion
Patinaje,Ocio
Reparación tubería,Vivienda
Reparacion casa,Vivienda
Caseta,Transporte
Hipoteca,Vivienda
Congreso académico,Educación
Compra electrodoméstico,Vivienda
Abarrotes,Alimentacion
Tanque gasolina,Transporte
dentista,Salud
Reparación de plomería,Vivienda
Compra útiles escolares,Educación
Pago seguro vivienda,Vivienda
DiDi,Transporte
analisis laboratorio,Salud
Utiles escolares,Educación
Tanque gas,Servicios
Clases de matemáticas,Educación
Matcha latte,Alimentacion
Conferencia academica,Educación
LIBRO,Ocio
Inscripción escolar,Educación
Disney,Ocio
Televisión por cable,Servicios
Tacos,Alimentacion
Disney+,Ocio
Pintura casa,Vivienda
Pago Netflix,Ocio
CAMISETA,Ocio
Compra medicamentos,Salud
Ferretería,Vivienda
Recibo de agua,Servicios
CURSO,Educación
Compra medicamentos,Salud
netflix,Ocio
Examen laboratorio,Salud
Senderismo,Ocio
Congreso académico,Educación
consulta medica,Salud
Seguro de vivienda,Vivienda
Servicio telefónico,Servicios
Cine,Ocio
Conferencia academica,Educación
Seguro vivienda,Vivienda
PEMEX,Transporte
Comida para llevar,Alimentacion
Credito hipotecario,Vivienda
Clases idiomas,Educación
CURSO,Educación
Servicio telefonico,Servicios
Mueble para sala,Vivienda
Galletas,Alimentacion
Libro,Ocio
Abono hipoteca,Vivienda
Tren Suburbano,Transporte
Inscripcion escolar,Educación
Gasolina Magna,Transporte
Compra libros escolares,Educación
Taxi,Transporte
Gimnasio,Servicios
Galletas,Alimentacion
Servicio limpieza hogar,Servicios
Disney plus,Ocio
FARMACIA,Salud
Material escolar,Educación
pastilla,Salud
renta,Vivienda
limpieza,Servicios
Recarga Telcel,Servicios
Estacionamiento vehículo,Transporte
Uber viaje,Transporte
Tienda de ropa,Ocio
Curso idiomas,Educación
Renta,Vivienda
Uber viaje,Transporte
Mensualidad escuela,Educación
ferreteria,Vivienda
spa,Ocio
Pasaje urbano,Transporte
examen medico,Salud
Lácteos,Alimentacion
Pantalon,Ocio
GAS LP,Servicios
Curso en línea,Educación
Diplomado,Educación
Ferretería,Vivienda
Bolsa,Ocio
articulos de limpieza,Vivienda
Utensilios de cocina,Vivienda
Comisión Federal de Electricidad,Servicios
Joyería,Ocio
tortillas,Alimentacion
Taxi de sitio,Transporte
comida rapida,Alimentacion
CAFÉ,Alimentacion
Electrodomesticos,Vivienda
Articulos para hogar,Vivienda
Recarga gas,Servicios
Hospitalizacion,Salud
Boleto parque,Ocio
Urgencias médicas,Salud
Compra en mercado,Alimentacion
Pago mensualidad escolar,Educación
certificacion,Educación
Compra utiles escolares,Educación
Agua potable,Servicios
universidad,Educación
medicina,Salud
Compra en mercado,Alimentacion
Cablebús,Transporte
Cena,Alimentacion
Clase de baile,Ocio
Frutas,Alimentacion
pantalon,Ocio
Camion,Transporte
Pintura,Vivienda
gimnasio,Servicios
camiseta,Ocio
Restaurante,Alimentacion
Yogur,Alimentacion
Medicinas,Salud
Diplomado profesional,Educación
Cafeteria local,Alimentacion
mantenimiento edificio,Vivienda
Taxi,Transporte
Transporte publico,Transporte
Servicio cable,Servicios
Gym,Servicios
tortillas,Alimentacion
Plomeria,Vivienda
Botanas,Alimentacion
farmacia,Salud
Herramientas,Vivienda
Servicio de plomería,Vivienda
Camiseta,Ocio
Articulos para hogar,Vivienda
Frances,Educación
Inglés,Educación
Colegiatura,Educación
Examen de laboratorio,Salud
Camion,Transporte
Mensualidad hipoteca,Vivienda
Medicinas,Salud
Disney Plus,Ocio
Recibo de gas,Servicios
medicina,Salud
Mantenimiento edificio,Vivienda
Transporte publico,Transporte
Compra alimentos,Alimentacion
Calzado,Ocio
Disney Plus,Ocio
Pago crédito hipotecario,Vivienda
Credito hipotecario,Vivienda
suscripcion netflix,Ocio
Uber,Transporte
autobus,Transporte
Pasaje urbano,Transporte
Decoracion casa,Vivienda
netflix,Ocio
FARMACIA,Salud
Parque de diversiones,Ocio
CFE,Servicios
Antibiotico,Salud
Reparacion electrodomestico,Vivienda
Tutorias,Educación
Compra de ropa,Ocio
Urgencias médicas,Salud
autobus,Transporte
Nutriólogo,Salud
ferreteria,Vivienda
internet,Servicios
Electrodomesticos,Vivienda
Compra medicamento,Salud
Analgesico,Salud
Antibiótico,Salud
Certificacion,Educación
spa,Ocio
Cafetería local,Alimentacion
Transporte urbano,Transporte
Examen certificacion,Educación
laboratorio,Salud
playera,Ocio
Pago mensual renta,Vivienda
Bolsa,Ocio
Pago agua,Servicios
Lentes para sol,Ocio
Transporte publico,Transporte
Pago CFE,Servicios
Farmacia Similares,Salud
Servicio de plomería,Vivienda
Metro,Transporte
Autobus,Transporte
Productos limpieza,Vivienda
Reparación plomería,Vivienda
Curso ingles,Educación
Tour turístico,Ocio
Pago renta,Vivienda
Pasaje de autobus,Transporte
Francés,Educación
Alquiler,Vivienda
Camiseta,Ocio
Servicio internet,Servicios
combustible,Transporte
Taxi sitio,Transporte
Tanque de gasolina,Transporte
Paseo turistico,Ocio
recibo de luz,Servicios
Congreso académico,Educación
Taxi,Transporte
Pago de hipoteca,Vivienda
UNIVERSIDAD,Educación
Boleto evento,Ocio
Comida rápida,Alimentacion
Tren suburbano,Transporte
Masaje,Ocio
Mensualidad hipoteca,Vivienda
Viaje en taxi,Transporte
Té,Alimentacion
Yogurt,Alimentacion
Taller de idiomas,Educación
Compra electrodoméstico,Vivienda
Estacionamiento vehículo,Transporte
Antibiotico,Salud
Pago celular mensual,Servicios
Hamburguesa,Alimentacion
Laboratorio medico,Salud
Pasaje de autobus,Transporte
Carniceria,Alimentacion
COLEGIATURA,Educación
Pago universidad,Educación
natacion,Ocio
cine,Ocio
restaurante,Alimentacion
Servicio de cable,Servicios
Certificación,Educación
Gasolina magna,Transporte
Mensualidad Netflix,Ocio
Pedido comida,Alimentacion
plomeria,Vivienda
Certificacion profesional,Educación
consulta medica,Salud
WALMART,Alimentacion
gas lp,Servicios
vegetales,Alimentacion
Pintura para interiores,Vivienda
Paseo turistico,Ocio
CFE pago,Servicios
Recarga Metro,Transporte
Seguro casa,Vivienda
Metro,Transporte
Carga gasolina,Transporte
Pintura para interiores,Vivienda
didi,Transporte
Recibo de agua,Servicios
consulta medica,Salud
Abarrotes,Alimentacion
Suscripcion Netflix,Ocio
Alimentos,Alimentacion
Recibo servicio,Servicios
Cafetería,Alimentacion
Joyería,Ocio
Consola videojuego,Ocio
perfume,Ocio
Seguro casa,Vivienda
Herramientas,Vivienda
Pago gimnasio,Servicios
muebles,Vivienda
Clases idiomas,Educación
Pago SACMEX,Servicios
Pago seguro vivienda,Vivienda
pastilla,Salud
Pago credito hipotecario,Vivienda
Libros escolares,Educación
Bolso,Ocio
Reparacion casa,Vivienda
Pago caseta,Transporte
Fibra óptica,Servicios
Entrada concierto,Ocio
Consulta medica,Salud
Electrodomestico,Vivienda
Servicio spa,Ocio
surf,Ocio
combustible,Transporte
Compra electrodomestico,Vivienda
consulta medica,Salud
metro,Transporte
Pago Disney,Ocio
Analisis Laboratorio,Salud
Pantalon,Ocio
Taxi,Transporte
PREMIUM,Transporte
Curso ingles,Educación
consulta medica,Salud
Uber Eats,Alimentacion
Taller de idiomas,Educación
Servicio gas,Servicios
Pago de escuela,Educación
Articulos de limpieza,Vivienda
Carne,Alimentacion
Carga Gas LP,Servicios
MEDICINA,Salud
Cita médica,Salud
Streaming,Servicios
vegetales,Alimentacion
Servicio médico,Salud
Seminario académico,Educación
pastilla,Salud
Matcha latte,Alimentacion
Viaje en taxi,Transporte
tortilleria,Alimentacion
Mensualidad hipoteca,Vivienda
Dentista,Salud
Streaming,Ocio
Almuerzo,Alimentacion
Seguro de gastos médicos,Salud
Certificación,Educación
Material escolar,Educación
Medicamento,Salud
pemex,Transporte
Estudio médico,Salud
Seminario,Educación
Compra ferreteria,Vivienda
transporte publico,Transporte
Lentes,Ocio
Estacionamiento vehículo,Transporte
ferreteria,Vivienda
delivery comida,Alimentacion
Teatro,Ocio
Compra de tortillas,Alimentacion
Pago de colegiatura,Educación
Tienda de abarrotes,Alimentacion
Electrodomestico,Vivienda
alimentos,Alimentacion
Surf,Ocio
Playera,Ocio
Entrada concierto,Ocio
Autobus,Transporte
Terapia física,Salud
Dentista,Salud
dentista,Salud
Suscripcion de streaming,Servicios
servicio streaming,Servicios
Mantenimiento de caldera,Servicios
Mensualidad universidad,Educación
Útiles escuela,Educación
Compra útiles escolares,Educación
Limpieza casa,Servicios
Recarga tarjeta transporte,Transporte
Material educativo,Educación
didi,Transporte
Analisis de laboratorio,Salud
Crema corporal,Ocio
Pago agua,Servicios
Material didáctico,Educación
Boleto parque,Ocio
Compra de ropa,Ocio
Material de estudio,Educación
Taller idiomas,Educación
despensa,Alimentacion
Plomería,Vivienda
verdura,Alimentacion
laboratorio medico,Salud
dentista,Salud
Boleto cablebus,Transporte
Curso idiomas,Educación
Didi Food,Alimentacion
Compra videojuego,Ocio
Cita médica,Salud
Articulos de limpieza,Vivienda
Recibo agua,Servicios
Viaje Uber,Transporte
Pintura casa,Vivienda
senderismo,Ocio
TAXI,Transporte
Servicio de cable,Servicios
Autobús,Transporte
Festival,Ocio
Pago de celular,Servicios
Pago inscripción,Educación
Pago seguro medico,Salud
gasolina premium,Transporte
Pago crédito hipotecario,Vivienda
Utensilios cocina,Vivienda
Seminario academico,Educación
Crédito hipotecario,Vivienda
Boleto concierto,Ocio
Seminario academico,Educación
Verduras,Alimentacion
Baile,Ocio
ciclismo,Ocio
Consulta doctor,Salud
pemex,Transporte
pemex,Transporte
FERRETERIA,Vivienda
Compra en mercado,Alimentacion
Pago cable,Servicios
UberEats,Alimentacion
Pan dulce,Alimentacion
Plan internet,Servicios
Mensualidad renta,Vivienda
Libros escolares,Educación
Pago telefonía,Servicios
Pago SACMEX,Servicios
Servicios de reparación hogar,Vivienda
analisis laboratorio,Salud
Taxi de Sitio,Transporte
Doctor,Salud
Cablebus CDMX,Transporte
Hipoteca,Vivienda
Pago caseta,Transporte
Inscripción universidad,Educación
transporte publico,Transporte
Televisión por cable,Servicios
Videojuego,Ocio
RESTAURANTE,Alimentacion
Pintura para casa,Vivienda
Boleto tren,Transporte
Pago seguro vivienda,Vivienda
Fibra óptica,Servicios
Estudios de laboratorio,Salud
Viaje Didi,Transporte
Pago hipoteca,Vivienda
Pago Netflix,Ocio
Tortillería,Alimentacion
Tenis,Ocio
Recarga tarjeta metro,Transporte
Medico,Salud
Recarga gas,Servicios
Autobús,Transporte
Libro escolar,Educación
Utiles escolares,Educación
Antibiotico,Salud
Estudio médico,Salud
streaming,Ocio
Adornos hogar,Vivienda
Servicio mantenimiento,Servicios
Materiales escolares,Educación
Pago Paramount,Ocio
Hamburguesa,Alimentacion
medico,Salud
Festival,Ocio
Articulos de limpieza,Vivienda
Compra ropa,Ocio
curso en linea,Educación
medicamento,Salud
Accesorios de moda,Ocio
Compra supermercado,Alimentacion
Matcha latte,Alimentacion
Despensa mensual,Alimentacion
Servicio limpieza hogar,Servicios
gas,Servicios
Tanque gasolina,Transporte
Pescado,Alimentacion
Clases de matematicas,Educación
gas natural,Servicios
Netflix,Ocio
Pago de gimnasio,Servicios
Compra electrodomestico,Vivienda
disney,Ocio
supermercadoDESPENSA,Alimentacion
Te,Alimentacion
Analgésico,Salud
Pago inscripción,Educación
Servicio médico,Salud
Latte,Alimentacion
crema,Ocio
Recarga Metro,Transporte
Consulta doctor,Salud
Receta medica,Salud
Decoracion casa,Vivienda
Entrada concierto,Ocio
tortilleria,Alimentacion
Compra en farmacia,Salud
Té,Alimentacion
Electrodomésticos,Vivienda
Articulos limpieza,Vivienda
Recibo de gas,Servicios
Electrodomestico,Vivienda
combustible,Transporte
Carniceria,Alimentacion
Botanas,Alimentacion
laboratorio medico,Salud
Servicio cable,Servicios
Seguro casa,Vivienda
Yogurt,Alimentacion
Ropa,Ocio
Tortillería,Alimentacion
Fibra óptica,Servicios
Perfume,Ocio
Pago de gimnasio,Servicios
Antibioticos,Salud
Servicio de plomeria,Vivienda
Compra de tortillas,Alimentacion
Cablebus,Transporte
Compra medicamento,Salud
examen medico,Salud
Productos de limpieza,Vivienda
Pago universidad,Educación
Delivery de comida,Alimentacion
Recibo de luz,Servicios
Receta medica,Salud
Camion,Transporte
Pago de renta,Vivienda
Pintura hogar,Vivienda
Plan de internet,Servicios
Servicio internet,Servicios
Seminario académico,Educación
Parque de diversiones,Ocio
GORRA,Ocio
Pago Telcel,Servicios
Taller idiomas,Educación
antibiotico,Salud
Electrodomesticos,Vivienda
Autobús,Transporte
Suscripcion netflix,Ocio
Gasolina premium,Transporte
antibiotico,Salud
Ferretería,Vivienda
Reparación caldera,Servicios
Ropa,Ocio
Gasolina Premium,Transporte
Pintura para interiores,Vivienda
comida,Alimentacion
Pollo,Alimentacion
Pago inscripción,Educación
Cita médica,Salud
Certificación,Educación
Telcel,Servicios
Cablebús,Transporte
Productos limpieza,Vivienda
Materiales escolares,Educación
Laboratorio,Salud
Crema facial,Ocio
GORRA,Ocio
Hobby,Ocio
Factura agua,Servicios
Servicios de reparacion hogar,Vivienda
RECIBO CFE,Servicios
Material escolar,Educación
analisis laboratorio,Salud
Clases de inglés,Educación
Set de ducha,Ocio
Bolsa,Ocio
combustible,Transporte
Servicio limpieza,Servicios
Examen laboratorio,Salud
analisis laboratorio,Salud
Pago de universidad,Educación
Recibo gas,Servicios
Compra en tianguis,Alimentacion
Verduras,Alimentacion
Servicio de limpieza,Servicios
Natación,Ocio
Pintura casa,Vivienda
Cuota autopista,Transporte
Yogurt,Alimentacion
Servicio gas,Servicios
Carga de gasolina,Transporte
Compra electrodomestico,Vivienda
Seguro vivienda,Vivienda
Pasaje de autobus,Transporte
Telcel,Servicios
Gasolina Magna,Transporte
Seguro médico,Salud
Examen de laboratorio,Salud
Hipoteca,Vivienda
Ropa,Ocio
Pago Paramount,Ocio
Productos para hogar,Vivienda
Nutriologo,Salud
Mantenimiento de caldera,Servicios
Servicio médico,Salud
Hipoteca,Vivienda
Abono hipoteca,Vivienda
Compra ferreteria,Vivienda
Hobby,Ocio
Compra alimentos,Alimentacion
Tour por ciudad,Ocio
Servicio de plomería,Vivienda
Terapia física,Salud
Farmacias Guadalajara,Salud
Gas LP,Servicios
Tarjeta movilidad,Transporte
Pescado,Alimentacion
Compra combustible,Transporte
Ferreteria,Vivienda
Supermercado,Alimentacion
Clase de baile,Ocio
certificacion,Educación
Visita guiada,Ocio
curso en linea,Educación
Lácteos,Alimentacion
Seminario,Educación
Servicios de reparacion hogar,Vivienda
PERFUME,Ocio
Mensualidad gimnasio,Servicios
Material didactico,Educación
Taxi,Transporte
Servicio de plomeria,Vivienda
Agua embotellada,Alimentacion
Gas Natural,Servicios
paramount,Ocio
Parque diversiones,Ocio
RENTA,Vivienda
Servicios de reparación hogar,Vivienda
Paramount,Ocio
Te,Alimentacion
Lácteos,Alimentacion
gimnasio,Servicios
Consulta médica,Salud
Taxi,Transporte
Yogurt,Alimentacion
Gasolina,Transporte
Servicio de cable,Servicios
NETFLIX,Ocio
disney,Ocio
Urgencias médicas,Salud
Café espresso,Alimentacion
Pago CFE,Servicios
Pescado,Alimentacion
gas,Servicios
Tour turistico,Ocio
Pago hipoteca,Vivienda
Reparacion plomeria,Vivienda
Television por cable,Servicios
Médico,Salud
supermercado,Alimentacion
medico,Salud
Mochila,Ocio
Gasolina Magna,Transporte
Consulta especialista,Salud
escuela,Educación
Despensa quincenal,Alimentacion
Playera,Ocio
Pago inscripcion,Educación
LIBRO,Ocio
UNIVERSIDAD,Educación
Abono Hipoteca,Vivienda
Compra comida,Alimentacion
Cablebús,Transporte
Renta,Vivienda
Articulos para hogar,Vivienda
Servicio spa,Ocio
Compra supermercado,Alimentacion
Gasolina magna,Transporte
supermercado,Alimentacion
Servicio de agua,Servicios
Festival música,Ocio
Te y galletas,Alimentacion
Lacteos,Alimentacion
Material escolar,Educación
antibiotico,Salud
Botanas,Alimentacion
Limpieza del hogar,Vivienda
Compra muebles,Vivienda
MEDICO,Salud
Utiles escolares,Educación
Antibioticos,Salud
FERRETERIA,Vivienda
Parque diversiones,Ocio
Servicio mantenimiento,Servicios
spa,Ocio
Clases de matemáticas,Educación
Suscripcion netflix,Ocio
Recibo de luz,Servicios
Juego,Ocio
Certificación profesional,Educación
Servicio Didi,Transporte
UberEats,Alimentacion
Consulta medica,Salud
Pago crédito hipotecario,Vivienda
Pago de colegiatura,Educación
Telefonia movil,Servicios
Crédito hipotecario,Vivienda
pastillas,Salud
Tenis,Ocio
Transporte por aplicación,Transporte
Utensilios cocina,Vivienda
Suscripcion netflix,Ocio
Antibioticos,Salud
taxi sitio,Transporte
Utensilios de cocina,Vivienda
Seguro de gastos medicos,Salud
Té,Alimentacion
Suscripción Netflix,Ocio
Servicio spa,Ocio
Viaje en taxi,Transporte
Hospitalización,Salud
Natacion,Ocio
Laboratorio medico,Salud
Gasolina Magna,Transporte
ESCUELA,Educación
Curso online,Educación
Paseo turistico,Ocio
Tortilleria,Alimentacion
Reparacion electrodomestico,Vivienda
Verduras,Alimentacion
Utensilios de cocina,Vivienda
Pago crédito hipotecario,Vivienda
cablebus,Transporte
Servicio gasolinera,Transporte
Mensualidad gimnasio,Servicios
Compra comida,Alimentacion
medico,Salud
Libros escolares,Educación
Recarga Metro,Transporte
Compra de comida,Alimentacion
Recarga tarjeta movilidad,Transporte
Disney plus,Ocio
Pintura para interiores,Vivienda
Ropa bazar,Ocio
Servicio Uber,Transporte
Ropa,Ocio
walmart,Alimentacion
consulta medica,Salud
Parking,Transporte
Reparación de plomería,Vivienda
Pago inscripcion,Educación
universidad,Educación
recarga telcel,Servicios
MAGNA,Transporte
Reparacion caldera,Servicios
Medico,Salud
Cablebus CDMX,Transporte
Análisis de laboratorio,Salud
Te,Alimentacion
Tanque de gasolina,Transporte
Gas,Servicios
Despensa quincenal,Alimentacion
Colonia,Ocio
Decoracion casa,Vivienda
Carnicería,Alimentacion
UberEats,Alimentacion
Tacos restaurante,Alimentacion
Compra en farmacia,Salud
Botanas,Alimentacion
Factura agua,Servicios
Vitamina,Salud
Curso ingles,Educación
Mantenimiento de caldera,Servicios
Despensa quincenal,Alimentacion
Carga de gasolina,Transporte
curso,Educación
Recarga tarjeta metro,Transporte
Uber eats,Alimentacion
Farmacia,Salud
tortillas,Alimentacion
Adornos hogar,Vivienda
Suscripcion netflix,Ocio
Carne,Alimentacion
Cuota autopista,Transporte
Paseo turístico,Ocio
Plan internet,Servicios
Decoración hogar,Vivienda
Recarga tarjeta transporte,Transporte
Pescado,Alimentacion
Examen de laboratorio,Salud
Compra videojuego,Ocio
Hospitalización,Salud
Compra ropa,Ocio
Yogurt,Alimentacion
Medicinas,Salud
Boletos cine,Ocio
gas lp,Servicios
Pemex,Transporte
Consulta nutricional,Salud
Conferencia academica,Educación
RENTA,Vivienda
Receta medica,Salud
Diplomado profesional,Educación
Seguro medico,Salud
Frances,Educación
Pastillas,Salud
Mantenimiento servicio,Servicios
certificacion,Educación
Pago caseta,Transporte
laboratorio,Salud
Curso de idiomas,Educación
Congreso academico,Educación
Laboratorio médico,Salud
Calzado,Ocio
Accesorios de moda,Ocio
Tren Suburbano,Transporte
Jarabe,Salud
Pago de renta,Vivienda
netflix,Ocio
Cafetería,Alimentacion
Laboratorio médico,Salud
Servicio de plomeria,Vivienda
Fisioterapia,Salud
Cafe,Alimentacion
Servicio agua,Servicios
Clases privadas,Educación
Pago celular,Servicios
Boleto tren,Transporte
Paseo,Ocio
Cuota de mantenimiento,Vivienda
Pasaje de autobus,Transporte
Servicio de agua,Servicios
Escuela,Educación
Pago Telcel,Servicios
Congreso academico,Educación
Servicio de agua,Servicios
Gasolina Premium,Transporte
Pago SACMEX,Servicios
Pedido de comida,Alimentacion
Walmart,Alimentacion
Suscripción Disney,Ocio
Taxi de sitio,Transporte
Spa,Ocio
Huevos,Alimentacion
Cita doctor,Salud
Mantenimiento edificio,Vivienda
Servicio médico,Salud
Clase de baile,Ocio
Laboratorio medico,Salud
LABORATORIO,Salud
Queso,Alimentacion
Tanque gasolina,Transporte
Servicio telefonico,Servicios
Juegos,Ocio
Pago caseta,Transporte
tortilleria,Alimentacion
Alquiler,Vivienda
ciclismo,Ocio
Pago telefonía,Servicios
Farmacia similares,Salud
Festival,Ocio
netflix,Ocio
Te,Alimentacion
Cuota mantenimiento,Vivienda
Crédito hipotecario,Vivienda
recibo CFE,Servicios
Cafeteria local,Alimentacion
Tour por ciudad,Ocio
Café espresso,Alimentacion
Jarabe,Salud
Tanque de gas,Servicios
tortillas,Alimentacion
Servicio de cable,Servicios
Despensa,Alimentacion
Leche,Alimentacion
delivery comida,Alimentacion
Pago telefonía,Servicios
Didi food,Alimentacion
Comisión Federal de Electricidad,Servicios
Conferencia academica,Educación
Mensualidad hipoteca,Vivienda
Curso idiomas,Educación
Estudio médico,Salud
Taxi sitio,Transporte
Taxi,Transporte
Antibióticos,Salud
Seguro de casa,Vivienda
Servicio de cable,Servicios
pago cfe,Servicios
Examen laboratorio,Salud
Obra de teatro,Ocio
Tanque de gasolina,Transporte
Frances,Educación
Pago de universidad,Educación
Plomería,Vivienda
Paseo,Ocio
Caseta,Transporte
Reparación electrodoméstico,Vivienda
Recarga tarjeta transporte,Transporte
Servicio mantenimiento,Servicios
Compra libros escolares,Educación
Antibioticos,Salud
Fibra óptica,Servicios
Colegiatura,Educación
Camion,Transporte
Consulta médica,Salud
consulta medica,Salud
Antibioticos,Salud
Muebles,Vivienda
Consulta médica,Salud
tianguis,Alimentacion
Curso de idiomas,Educación
ropa,Ocio
gimnasio,Servicios
DiDi,Transporte
Clases privadas,Educación
Disney Plus,Ocio
Pago colegiatura,Educación
Pago television por cable,Servicios
gasolina magna,Transporte
doctor,Salud
Compra electrodoméstico,Vivienda
Analgesico,Salud
Compra combustible,Transporte
Curso inglés,Educación
Tour turistico,Ocio
Huevos,Alimentacion
Compra de tortillas,Alimentacion
pastillas,Salud
alimentos,Alimentacion
Compra de muebles,Vivienda
Compra utiles escolares,Educación
Cita doctor,Salud
Reparación plomería,Vivienda
farmacia similares,Salud
Bolsa,Ocio
Compra de muebles,Vivienda
MEDICO,Salud
Cafeteria local,Alimentacion
Servicio mantenimiento,Servicios
Pago de hipoteca,Vivienda
Fisioterapia,Salud
Tortilleria,Alimentacion
vegetal,Alimentacion
camiseta,Ocio
Decoración hogar,Vivienda
Pago seguro vivienda,Vivienda
Frances,Educación
Boleto parque,Ocio
Yogurt,Alimentacion
DiDi,Transporte
Pedido comida,Alimentacion
consulta medica,Salud
Libro,Ocio
Clases de ingles,Educación
Disney+,Ocio
Compra alimentos,Alimentacion
universidad,Educación
Servicio limpieza hogar,Servicios
Museo,Ocio
Servicio de plomería,Vivienda
Reparación de plomería,Vivienda
Estacionamiento vehiculo,Transporte
Comision Federal de Electricidad,Servicios
Médico,Salud
Compra en supermercado,Alimentacion
Cablebús,Transporte
Superercado,Alimentacion
Antibióticos,Salud
Visita guiada,Ocio
Conferencia académica,Educación
Gorra,Ocio
Reparacion casa,Vivienda
Servicio Didi,Transporte
medico,Salud
gorra,Ocio
Pago mensual renta,Vivienda
Carga gasolina,Transporte
Superercado,Alimentacion
Cena,Alimentacion
Servicio de agua,Servicios
Plomeria,Vivienda
medicamento,Salud
Compra ferreteria,Vivienda
DiDi,Transporte
Almuerzo,Alimentacion
Accesorios,Ocio
MEDICO,Salud
gas,Servicios
Pago cable,Servicios
Desayuno,Alimentacion
Clases privadas,Educación
Despensa mensual,Alimentacion
Seguro de gastos medicos,Salud
mantenimiento edificio,Vivienda
stream,Ocio
Credito hipotecario,Vivienda
Reparacion casa,Vivienda
Curso ingles,Educación
Viaje transporte,Transporte
taxi,Transporte
Crédito hipotecario,Vivienda
Antibiótico,Salud
Frutas,Alimentacion
Cafetería,Alimentacion
Uber,Transporte
Pago gimnasio,Servicios
Crema facial,Ocio
Material ferreteria,Vivienda
Transporte por aplicación,Transporte
Conferencia academica,Educación
CURSO,Educación
Servicio médico,Salud
Pago combustible,Transporte
certificacion,Educación
Limpieza del hogar,Vivienda
Pemex,Transporte
farmacia,Salud
Urgencias medicas,Salud
Curso en línea,Educación
Pastillas,Salud
Viaje transporte,Transporte
Urgencias médicas,Salud
Farmacia,Salud
cartera,Ocio
Té,Alimentacion
comida rapida,Alimentacion
Servicio caldera,Servicios
Certificacion,Educación
Comic,Ocio
Ingles,Educación
Renta,Vivienda
Sombrero,Ocio
Huevos,Alimentacion
Mensualidad renta,Vivienda
Bolsa,Ocio
fruta,Alimentacion
Congreso académico,Educación
Medicamentos,Salud
RENTA,Vivienda
Alquiler,Vivienda
Pago Disney,Ocio
Supermercado,Alimentacion
Crédito hipotecario,Vivienda
Útiles escuela,Educación
Cine,Ocio
Terapia fisica,Salud
Queso,Alimentacion
Pago inscripción,Educación
Servicio de limpieza,Servicios
Gasolinera,Transporte
Mensualidad escuela,Educación
Servicio caldera,Servicios
Gasolina Premium,Transporte
Lacteos,Alimentacion
Visita turistica,Ocio
Mensualidad escuela,Educación
Gasolinera,Transporte
Transporte público,Transporte
Comida en restaurante,Alimentacion
Gimnasio,Servicios
Pago de luz,Servicios
Seminario,Educación
Recarga tarjeta transporte,Transporte
Didi Food,Alimentacion
Compra libro escolar,Educación
Ferreteria,Vivienda
farmacia,Salud
Zapatos,Ocio
Servicio de cable,Servicios
Refrescos,Alimentacion
Mensualidad universidad,Educación
Material de estudio,Educación
Senderismo,Ocio
LABORATORIO,Salud
Didi food,Alimentacion
CAFÉ,Alimentacion
